PRI Local bodies of Maharashtra (State Code: 27) State,,,,,,,
S.No.,Localbody Type Code,Localbody Type Name,Localbody Code,Localbody Version,Localbody Name (In English),Localbody Name (In Local),Parent Localbody Code
320,2,Block Panchayat,4810,1,Saoner,सावनेर,440
321,2,Block Panchayat,4923,2,Satara,सातारा,450
322,2,Block Panchayat,4930,1,Sawantwadi,सावंतवाडी,451
323,2,Block Panchayat,4963,1,Seloo,सेलू,454
324,2,Block Panchayat,4753,1,Sengaon,शेनगाव,435
325,2,Block Panchayat,4832,1,Shahada,शहादा,442
326,2,Block Panchayat,4952,2,Shahapur,शहापूर,453
327,2,Block Panchayat,4787,1,Shahuwadi,शाहूवाडी,438
328,2,Block Panchayat,4708,1,Shegaon,शेगाव,430
329,2,Block Panchayat,4646,1,Shevgaon,शेगाव,424
330,2,Block Panchayat,4727,2,Shindkheda,सिंधखेडे,432
331,2,Block Panchayat,4911,1,Shirala,शिराळा,449
332,2,Block Panchayat,4788,1,Shirol,शिरोळ,438
333,2,Block Panchayat,4728,1,Shirpur,शिरपूर,432
334,2,Block Panchayat,4878,1,Shirur,शिरूर,446
335,2,Block Panchayat,4797,1,Shirur Anantpal,शिरूर अनंतपाळ,439
336,2,Block Panchayat,4688,1,Shirur ( Ka ),शिरूर (कासार),428
337,2,Block Panchayat,4647,1,Shrigonda,श्रीगोंदा,424
338,2,Block Panchayat,4648,1,Shrirampur,श्रीरामपूर,424
339,2,Block Panchayat,4891,1,Shrivardhan,श्रीवर्धन,447
340,2,Block Panchayat,4676,1,Sillod,सिल्लोड,427
341,2,Block Panchayat,4723,1,Sindewahi,सिंदेवाही,431
342,2,Block Panchayat,4709,1,Sindkhedraja,सिंधखेड राजा,430
343,2,Block Panchayat,4845,1,Sinnar,सिन्‍नर,443
344,2,Block Panchayat,4740,1,Sironcha,सिरोंचा,433
345,2,Block Panchayat,4677,1,Soegaon,सोयेगाव,427
346,2,Block Panchayat,4942,1,Solapur North,उत्तर सोलापूर,452
347,2,Block Panchayat,4865,1,Sonpeth,सोनपेठ,445
348,2,Block Panchayat,4943,1,South Solapur,दक्षिण सोलापूर,452
349,2,Block Panchayat,4892,1,Sudhagad,सुधागड,447
350,2,Block Panchayat,4846,1,Surgana,सुरगाणा,443
351,2,Block Panchayat,4893,1,Tala,ताला,447
352,2,Block Panchayat,4953,2,Talasari,तलासरी,261449
353,2,Block Panchayat,4833,1,Taloda,तलोदा,442
354,2,Block Panchayat,4912,1,Tasgaon,तासगाव,449
355,2,Block Panchayat,4655,1,Telhara,तेलहारा,425
356,2,Block Panchayat,4748,1,Tirora,तिरोडा,434
357,2,Block Panchayat,4668,1,Tiwsa,तिवसा,426
358,2,Block Panchayat,4847,1,Trimbak,त्रंबक,443
359,2,Block Panchayat,4855,1,Tuljapur,तुळजापूर,444
360,2,Block Panchayat,4696,1,Tumsar,तुमसर,429
361,2,Block Panchayat,4798,1,Udgir,उदगीर,439
362,2,Block Panchayat,4983,1,Umarkhed,उमरखेड,456
363,2,Block Panchayat,4811,1,Umred,उमरेड,440
364,2,Block Panchayat,4827,1,Umri,उमरी,441
365,2,Block Panchayat,4894,1,Uran,उरण,447
366,2,Block Panchayat,4931,1,Vaibhavawadi,वैभववाडी,451
367,2,Block Panchayat,4678,1,Vaijapur,वैजापूर,427
368,2,Block Panchayat,4913,1,Valva-Islampur,वाळवाइस्लामपूर,449
369,2,Block Panchayat,4954,2,Vasai,वसई,261449
370,2,Block Panchayat,4879,1,Velhe,वेल्हे,446
371,2,Block Panchayat,4932,1,Vengurla,वेंगुर्ला,451
372,2,Block Panchayat,4955,2,Vikramgad,विक्रमगड,261449
373,2,Block Panchayat,4956,2,Wada,वाडा,261449
374,2,Block Panchayat,4689,1,Wadwani,वडवणी,428
375,2,Block Panchayat,4924,1,Wai,वाई,450
376,2,Block Panchayat,4984,1,Wani,वनी,456
377,2,Block Panchayat,4964,1,Wardha,वर्धा,454
378,2,Block Panchayat,4724,1,Warora,वरोरा,431
379,2,Block Panchayat,4669,1,Warud,वरुड,426
380,2,Block Panchayat,4856,1,Washi,वाशी,444
381,2,Block Panchayat,4970,1,Washim,वाशिम,455
382,2,Block Panchayat,4985,1,Yavatmal,यवतमाळ,456
383,2,Block Panchayat,4768,1,Yawal,यावल,436
384,2,Block Panchayat,4848,1,Yeola,येवला,443
385,2,Block Panchayat,4986,1,Zari Jamni,जरी जामनी,456
386,3,Village Panchayat,306301,1,32 No Tanda,32 नं तांडा,4758
387,3,Village Panchayat,170637,1,74 Jalgaon,74 जळगाव,4674
388,3,Village Panchayat,179501,2,Aachawala,आचवला,4792
389,3,Village Panchayat,176062,1,Aada,आडा,4752
390,3,Village Panchayat,180360,1,Aadasa,आदासा,4805
391,3,Village Panchayat,183550,1,Aad (B),आड बु.,4844
392,3,Village Panchayat,180361,1,Aadegaon,अडेगाव,4805
393,3,Village Panchayat,175951,1,Aadgaon,आडगाव,4751
394,3,Village Panchayat,174602,1,Aadhe,आधे,4728
395,3,Village Panchayat,180169,1,Aadka,आडका,4802
396,3,Village Panchayat,192557,2,Aadne,आडणे,4954
397,3,Village Panchayat,179923,1,Aadolwadi,आडोळवाडी,4798
398,3,Village Panchayat,192301,2,Aagarwadi,आगरवाडी,4951
399,3,Village Panchayat,182982,1,Aahurli,आहुर्ली,4838
400,3,Village Panchayat,192049,6,Aaina,ऐना,4947
401,3,Village Panchayat,193009,1,Aajada,अजदा,4962
402,3,Village Panchayat,179502,1,Aajani,आजणी,4792
403,3,Village Panchayat,179224,1,Aajani (Kh),आजणी खुर्द,4789
404,3,Village Panchayat,179431,1,Aajansonda (Kh),अजणसोंडा खुर्द,4791
405,3,Village Panchayat,176188,1,Aajegaon,आजेगाव,4753
406,3,Village Panchayat,180170,1,Aajni,आजनी,4802
407,3,Village Panchayat,180616,1,Aajni,आजनी,4809
408,3,Village Panchayat,180661,1,Aajni(Se),आजनी(शे),4810
409,3,Village Panchayat,173779,2,Aakapur,आकापुर,4718
410,3,Village Panchayat,192050,2,Aakare,आकरे,4947
411,3,Village Panchayat,179591,1,Aakharwai,अखरवाई,4794
412,3,Village Panchayat,276101,1,Aaki,आकी,4662
413,3,Village Panchayat,193079,1,Aakoli,आकोली,4963
414,3,Village Panchayat,180009,1,Aalesur,आलेसुर,4799
415,3,Village Panchayat,192303,2,Aalewadi,आलेवाडी,4951
416,3,Village Panchayat,193080,1,Aalgaon,आलगांव,4963
417,3,Village Panchayat,179321,1,Aalmala,अलमला,4790
418,3,Village Panchayat,185463,5,Aambade,आंबाडे,4868
419,3,Village Panchayat,172399,1,Aambagad,आमबागड,4696
420,3,Village Panchayat,179503,1,Aambanagar,आंबानगर,4792
421,3,Village Panchayat,179225,1,Aambegaon,आंबेगाव,4789
422,3,Village Panchayat,179504,1,Aambegaon,आंबेगाव,4792
423,3,Village Panchayat,188302,2,Aambewadi,आंबेवाडी,4904
